pmid,gene1,gene2,sentence,class,details
9118802,HNF-3beta,Gli,"Taken together, these findings suggest that Gli, and probably also Gli2, are good candidates for transcriptional activators of the HNF-3beta floor plate enhancer, and the binding site for Gli proteins is a key element for response to Shh signalling.",TP,database
8668179,HNF-3,TTF-1,Modulation of TTF-1 gene expression by members of the HNF-3/forkhead family members may provide a mechanism by which distinct HNF-3/forkhead family members influence respiratory epithelial cell gene expression and cell differentiation,TP,database
7541912,NF-kappa B,NFKB2,Co-transfection of NF-kappa B effector plasmids (NF-kappa Bp52 and RelA) with a reporter gene linked to P1 and P2 showed that the NFKB2 promoter regions are regulated by NF-kappa B factors.,TP,database
11326276,LEF1,TCF,"beta-catenin/TCF complexes can activate the promoter for full-length LEF1, indicating that in cancer high levels of these complexes misregulate transcription to favor a positive feedback loop for Wnt signaling by inducing selective expression of full-length, beta-catenin-sensitive forms of LEF/TCFs",TP,database
8702877,p53,WT-1,"Cotransfections with plasmids expressing WT-1, WTAR (a mutated form of WT-1), p53, and a mutated form of p53 revealed a complex pattern of regulation with a 3-fold induction with WT-1, a 7-fold induction with mutated p53, and a 4-fold repression with wild-type p53.",TP,database
1334053,p53,c-myc,"The c-myc-positive tumors had a significantly higher level of p53 expression, judged by PAb 1801 and PAb 240, than c-myc-negative tumors.",TP,database
1527086,c-myb,c-Jun,"Because T-lymphocytes induced to proliferate express c-jun and junD before c-myb, these data suggest a mechanism whereby c-Jun and JunD contribute to the transcriptional activation of c-myb that, in turn, is maintained at the G1/S transition and during S phase by positive autoregulation",TP,database
1527086,c-myb,JunD,"Because T-lymphocytes induced to proliferate express c-jun and junD before c-myb, these data suggest a mechanism whereby c-Jun and JunD contribute to the transcriptional activation of c-myb that, in turn, is maintained at the G1/S transition and during S phase by positive autoregulation",TP,database
1652755,p53,c-fos,"The human p53 mutant derived from pC53-SCX3 was also less active than the wt protein in repressing the IL-6, c-fos, beta-actin, and MHC promoters, except that serum-induced IL-6/CAT expression was equally repressed by both human wt and mutant p53.",TP,database
1924358,c-fos,SRF,"In the case of the human serum response factor (SRF), a transcription factor involved in the regulation of the c-fos protooncogene, the vaccinia-expressed histidine-tagged SRF (SRF-6His) could be purified solely by this step to greater than 95% purity.",TP,database
2169352,GCR,c-Fos,"While the GCR is a potent inhibitor of AP-1 activity (Jun/Fos), both c-Jun and c-Fos are potent repressors of GCR activity.",TP,database
7565905,c-myc,c-fos,"The analysis of the of c-myc, c-Ha-ras and c-fos genes reveal no change in the c-myc expression, induction of the c-Ha-ras oncogene in CBP-6 and CBP-7 cells, and biochemistry and oncogene expression indicate that the acquired resistance to carboplatin is a complex, multifactorial process in these cells",TP,database
7576299,p53,Fos,Fos was expressed in 21 of 25 (84%) and four negative cases were all p53-positive; this negative correlation between p53 and Fos staining was statistically significant (P < 0.01).,TP,database
7576299,p53,Jun,Jun was detected in 14 of 20 (70%) and no significant relationship was observed between the expression of Jun and Fos or p53.,TP,database
7649977,p53,Sp1,"The presence of Sp1 increased p53 binding to its recognition sequence in the HIV-1 LTR, and experiments in Drosophila cells show that Sp1 is necessary for full transactivation by mutant p53.",TP,database
7843230,c-rel,NF-kappa B,"TNF-alpha, therefore, emerges as the main factor responsible for a second phase of NF-kappa B regulation, controlling both translocation of p65 and c-rel, and new mRNA synthesis for c-rel and p105/p50.",TP,database
7969121,p53,Max,Transactivation of the human p53 tumor suppressor gene by c-Myc/Max contributes to elevated mutant p53 expression in some tumors.,TP,database
7969121,p53,c-Myc,Transactivation of the human p53 tumor suppressor gene by c-Myc/Max contributes to elevated mutant p53 expression in some tumors.,TP,database
8454856,Rel,NF-kappa B,The data demonstrate that the p50/p105 NF-kappa B gene is regulated by members of the NF-kappa B/Rel family and likely by other important transcription factors,TP,database
8626793,MAZ,Sp1,"This result suggests that MAZ and Sp1 both participate in regulating expression from the serotonin 1a receptor gene promoter, and it raises the possibility that MAZ may act at a variety of promoters through the guanosine-cytosine-rich sequences generally thought to serve as binding sites for the Sp1 family of transcription factors.",TP,database
8649389,c-myc,CTCF,Mutational analysis of the P2-proximal CTCF binding site and transient-cotransfection experiments demonstrate that CTCF is a transcriptional repressor of the human c-myc gene.,TP,database
8649405,c-jun,Sp1,In vitro DNase I footprinting analysis with purified Sp1 and c-jun proteins showed that Sp1 binding could facilitate binding of c-jun.,TP,database
8683991,WT1,GATA-1,Previous studies of WT1 gene regulation showed that GATA-1 may regulate WT1 expression.,TP,database
8702238,p53,c-myc,"Analysis (subsequent to treatment) demonstrated that among the genes for which it was possible to detect expression, namely c-erb-B1, c-myc and p53, only the expression of the p53 gene varied significantly.",TP,database
