pmid,gene1,gene2,sentence,class,details
15322221,AP-1,CREM,We conclude that CREM represses the expression of c-fos and limits the activity of the enhancer AP-1.,TP,database
9118802,HNF-3beta,Gli,"Taken together, these findings suggest that Gli, and probably also Gli2, are good candidates for transcriptional activators of the HNF-3beta floor plate enhancer, and the binding site for Gli proteins is a key element for response to Shh signalling.",TP,database
9118802,HNF-3beta,Gli2,"Taken together, these findings suggest that Gli, and probably also Gli2, are good candidates for transcriptional activators of the HNF-3beta floor plate enhancer, and the binding site for Gli proteins is a key element for response to Shh signalling.",TP,database
8668179,HNF-3,TTF-1,Modulation of TTF-1 gene expression by members of the HNF-3/forkhead family members may provide a mechanism by which distinct HNF-3/forkhead family members influence respiratory epithelial cell gene expression and cell differentiation,TP,database
10875927,p53,HOXA5,"Thus, HOXA5 may behave as a transcriptional regulator of multiple target genes, two among which are p53 and the progesterone receptor.",TP,database
11842116,NeuroD,IA-1,"These findings suggest that the IA-1 protein may be auto-regulated and play a role in pancreas and neuronal development, specifically in the regulation of the NeuroD/beta2 gene",TP,database
12080043,YB-1,p73,Our data suggest that p73 stimulates the transcription of the YB-1 promoter by enhancing recruitment of the c-Myc-Max complex to the E-box,TP,database
12080043,Y-box-binding protein-1,p73,p73 Interacts with c-Myc to regulate Y-box-binding protein-1 expression.,TP,database
7969121,Max,c-Myc,Here we demonstrate that the human p53 promoter is transactivated by high c-Myc expression and repressed by high Max expression.,TP,database
7541912,NF-kappa B,NFKB2,Co-transfection of NF-kappa B effector plasmids (NF-kappa Bp52 and RelA) with a reporter gene linked to P1 and P2 showed that the NFKB2 promoter regions are regulated by NF-kappa B factors.,TP,database
11326276,LEF1,TCF,"beta-catenin/TCF complexes can activate the promoter for full-length LEF1, indicating that in cancer high levels of these complexes misregulate transcription to favor a positive feedback loop for Wnt signaling by inducing selective expression of full-length, beta-catenin-sensitive forms of LEF/TCFs",TP,database
10342883,RAR,VDR,Incubation with vitamin D markedly reduced the response to RA caused by transcriptional interference of the vitamin D receptor (VDR) on the RARE.,TP,database
8702877,p53,WT-1,"Cotransfections with plasmids expressing WT-1, WTAR (a mutated form of WT-1), p53, and a mutated form of p53 revealed a complex pattern of regulation with a 3-fold induction with WT-1, a 7-fold induction with mutated p53, and a 4-fold repression with wild-type p53.",TP,database
1334053,p53,c-myc,"The c-myc-positive tumors had a significantly higher level of p53 expression, judged by PAb 1801 and PAb 240, than c-myc-negative tumors.",TP,database
1436095,p53,c-myc,"The c-myc does not inhibit the activity of another tumour supressor, p53 (ref.",TP,database
1527086,c-myb,c-Jun,"Because T-lymphocytes induced to proliferate express c-jun and junD before c-myb, these data suggest a mechanism whereby c-Jun and JunD contribute to the transcriptional activation of c-myb that, in turn, is maintained at the G1/S transition and during S phase by positive autoregulation",TP,database
1527086,c-myb,JunD,"Because T-lymphocytes induced to proliferate express c-jun and junD before c-myb, these data suggest a mechanism whereby c-Jun and JunD contribute to the transcriptional activation of c-myb that, in turn, is maintained at the G1/S transition and during S phase by positive autoregulation",TP,database
1547771,c-fos,SRF,These findings imply possible roles for SRF phosphorylation in the regulation of c-fos transcription,TP,database
1652755,p53,c-fos,"The human p53 mutant derived from pC53-SCX3 was also less active than the wt protein in repressing the IL-6, c-fos, beta-actin, and MHC promoters, except that serum-induced IL-6/CAT expression was equally repressed by both human wt and mutant p53.",TP,database
1924358,c-fos,SRF,"In the case of the human serum response factor (SRF), a transcription factor involved in the regulation of the c-fos protooncogene, the vaccinia-expressed histidine-tagged SRF (SRF-6His) could be purified solely by this step to greater than 95% purity.",TP,database
2160970,c-MYB,B-MYB,The MBS-BI site was an enhancer element dependent on B-MYB and a very weakly dependent on c-MYB.,TP,database
2169352,GCR,c-Fos,"While the GCR is a potent inhibitor of AP-1 activity (Jun/Fos), both c-Jun and c-Fos are potent repressors of GCR activity.",TP,database
2441504,c-myc,c-fos,"Expression of c-fos was not elevated in carcinoma compared to BPH, whereas expression of c-myc was elevated in carcinoma specimens of all grades of glandular differentiation, and expression of H-ras became increasingly elevated as differentiation was lost",TP,database
2498162,MYC,FOS,These results raise the possibility that FOS and JUN participate in the regulation of MYC,TP,database
2498162,MYC,JUN,These results raise the possibility that FOS and JUN participate in the regulation of MYC,TP,database
2498322,c-myc,c-fos,This same complex reacted strongly with anti-fos immunoglobulin suggesting a role for c-fos in governing c-myc expression.,TP,database
2928331,c-fos,SRF,"We conclude that band I in neonates represents a SRE-binding factor that is distinct from the SRF, which may be responsible for the neonatal induction of the c-fos gene.",TP,database
3119326,c-fos,SRF,"A short DNA sequence element, the serum response element (SRE), which binds a nuclear protein, serum response factor (SRF), mediates transient transcriptional activation of c-fos and cytoskeletal actin genes in response to serum factors.",TP,database
7559553,c-myb,WT1,We conclude that WT1 is a negative regulator of c-myb expression in both T and B cell lines,TP,database
7565905,c-myc,c-fos,"The analysis of the of c-myc, c-Ha-ras and c-fos genes reveal no change in the c-myc expression, induction of the c-Ha-ras oncogene in CBP-6 and CBP-7 cells, and biochemistry and oncogene expression indicate that the acquired resistance to carboplatin is a complex, multifactorial process in these cells",TP,database
7576299,p53,Fos,Fos was expressed in 21 of 25 (84%) and four negative cases were all p53-positive; this negative correlation between p53 and Fos staining was statistically significant (P < 0.01).,TP,database
7576299,p53,Jun,Jun was detected in 14 of 20 (70%) and no significant relationship was observed between the expression of Jun and Fos or p53.,TP,database
