pmid,gene1,gene2,sentence,class,details
15322221,AP-1,CREM,We conclude that CREM represses the expression of c-fos and limits the activity of the enhancer AP-1.,TP,database
9118802,HNF-3beta,Gli2,"Taken together, these findings suggest that Gli, and probably also Gli2, are good candidates for transcriptional activators of the HNF-3beta floor plate enhancer, and the binding site for Gli proteins is a key element for response to Shh signalling.",TP,database
10875927,p53,HOXA5,"Thus, HOXA5 may behave as a transcriptional regulator of multiple target genes, two among which are p53 and the progesterone receptor.",TP,database
11842116,NeuroD,IA-1,"These findings suggest that the IA-1 protein may be auto-regulated and play a role in pancreas and neuronal development, specifically in the regulation of the NeuroD/beta2 gene",TP,database
12080043,YB-1,p73,Our data suggest that p73 stimulates the transcription of the YB-1 promoter by enhancing recruitment of the c-Myc-Max complex to the E-box,TP,database
12080043,Y-box-binding protein-1,p73,p73 Interacts with c-Myc to regulate Y-box-binding protein-1 expression.,TP,database
7969121,Max,c-Myc,Here we demonstrate that the human p53 promoter is transactivated by high c-Myc expression and repressed by high Max expression.,TP,database
10342883,RAR,VDR,Incubation with vitamin D markedly reduced the response to RA caused by transcriptional interference of the vitamin D receptor (VDR) on the RARE.,TP,database
1436095,p53,c-myc,"The c-myc does not inhibit the activity of another tumour supressor, p53 (ref.",TP,database
1547771,c-fos,SRF,These findings imply possible roles for SRF phosphorylation in the regulation of c-fos transcription,TP,database
2160970,c-MYB,B-MYB,The MBS-BI site was an enhancer element dependent on B-MYB and a very weakly dependent on c-MYB.,TP,database
2441504,c-myc,c-fos,"Expression of c-fos was not elevated in carcinoma compared to BPH, whereas expression of c-myc was elevated in carcinoma specimens of all grades of glandular differentiation, and expression of H-ras became increasingly elevated as differentiation was lost",TP,database
2498162,MYC,FOS,These results raise the possibility that FOS and JUN participate in the regulation of MYC,TP,database
2498162,MYC,JUN,These results raise the possibility that FOS and JUN participate in the regulation of MYC,TP,database
2498322,c-myc,c-fos,This same complex reacted strongly with anti-fos immunoglobulin suggesting a role for c-fos in governing c-myc expression.,TP,database
