pmid,gene1,gene2,sentence,class,details,gene1_char_start,gene1_char_end,gene2_char_start,gene2_char_end
15322221,AP-1,CREM,We conclude that CREM represses the expression of c-fos and limits the activity of the enhancer AP-1.,TP,database,96,100,17,21
9118802,HNF-3beta,Gli2,"Taken together, these findings suggest that Gli, and probably also Gli2, are good candidates for transcriptional activators of the HNF-3beta floor plate enhancer, and the binding site for Gli proteins is a key element for response to Shh signalling.",TP,database,131,140,67,71
10875927,p53,HOXA5,"Thus, HOXA5 may behave as a transcriptional regulator of multiple target genes, two among which are p53 and the progesterone receptor.",TP,database,100,103,6,11
11842116,NeuroD,IA-1,"These findings suggest that the IA-1 protein may be auto-regulated and play a role in pancreas and neuronal development, specifically in the regulation of the NeuroD/beta2 gene",TP,database,159,165,32,36
12080043,YB-1,p73,Our data suggest that p73 stimulates the transcription of the YB-1 promoter by enhancing recruitment of the c-Myc-Max complex to the E-box,TP,database,62,66,22,25
12080043,Y-box-binding protein-1,p73,p73 Interacts with c-Myc to regulate Y-box-binding protein-1 expression.,TP,database,37,60,0,3
7969121,Max,c-Myc,Here we demonstrate that the human p53 promoter is transactivated by high c-Myc expression and repressed by high Max expression.,TP,database,113,116,74,79
10342883,RAR,VDR,Incubation with vitamin D markedly reduced the response to RA caused by transcriptional interference of the vitamin D receptor (VDR) on the RARE.,TP,database,140,143,128,131
1436095,p53,c-myc,"The c-myc does not inhibit the activity of another tumour supressor, p53 (ref.",TP,database,69,72,4,9
1547771,c-fos,SRF,These findings imply possible roles for SRF phosphorylation in the regulation of c-fos transcription,TP,database,81,86,40,43
2160970,c-MYB,B-MYB,The MBS-BI site was an enhancer element dependent on B-MYB and a very weakly dependent on c-MYB.,TP,database,90,95,53,58
2441504,c-myc,c-fos,"Expression of c-fos was not elevated in carcinoma compared to BPH, whereas expression of c-myc was elevated in carcinoma specimens of all grades of glandular differentiation, and expression of H-ras became increasingly elevated as differentiation was lost",TP,database,89,94,14,19
2498162,MYC,FOS,These results raise the possibility that FOS and JUN participate in the regulation of MYC,TP,database,86,89,41,44
2498162,MYC,JUN,These results raise the possibility that FOS and JUN participate in the regulation of MYC,TP,database,86,89,49,52
2498322,c-myc,c-fos,This same complex reacted strongly with anti-fos immunoglobulin suggesting a role for c-fos in governing c-myc expression.,TP,database,105,110,86,91
2928331,c-fos,SRF,"We conclude that band I in neonates represents a SRE-binding factor that is distinct from the SRF, which may be responsible for the neonatal induction of the c-fos gene.",TP,database,158,163,94,97
3119326,c-fos,SRF,"A short DNA sequence element, the serum response element (SRE), which binds a nuclear protein, serum response factor (SRF), mediates transient transcriptional activation of c-fos and cytoskeletal actin genes in response to serum factors.",TP,database,173,178,118,121
7559553,c-myb,WT1,We conclude that WT1 is a negative regulator of c-myb expression in both T and B cell lines,TP,database,48,53,17,20
7576299,p53,Fos,These data suggest the possibility of down regulation of Fos expression by high levels of p53 protein.,TP,database,90,93,57,60
7605217,c-myc,c-fos,"Expression of c-fos was revealed in 79 of 138(59.4%) of proliferative and dysplastic changes of lung epithelium; c-jun in 40 of 61 (65.6%), c-ets-1 in 22 of 41 (53.7%), c-myc in 41 of 96(42.7%) and L-myc in 15 of 61 (24.6%), mainly in altered bronchial epithelium with a positive reaction to the antibodies against neuron specific enolase and S100 protein.",TP,database,169,174,14,19
