Class_ID1,Entrez_Gene_ID1,Species1,TF_GO_codes_molecular_function1,TF_GO_codes_biological_process1,Class_ID2,Entrez_Gene_ID2,Species2,TF_GO_codes_molecular_function2,TF_GO_codes_biological_process2,PMID,Gene_mention1,Gene_mention2,Sentence,prediction,pair_id,num_entities,num_unique_entities,all_mentions,unique_mentions,feedback_PD
2.1.6.0.1,190,9606,GO:0003706|GO:0017163,GO:0016481|GO:0034339|GO:0043433|GO:0045892,2.1.5.0.1,2516,9606,,GO:0034339|GO:0045944,7677767,DAX-1,SF-1,This suggests that SF-1 may directly regulate the expression of DAX-1 and that these two transcription factors may be components of a cascade required for development of steroidogenic tissues.,1.61,PMID.dPMID7677767.s0.p0,2,2,SF-1|DAX-1,DAX-1|SF-1,<--
2.1.6.0.1,190,9606,GO:0003706|GO:0017163,GO:0016481|GO:0034339|GO:0043433|GO:0045892,2.1.5.0.1,2516,9606,,GO:0034339|GO:0045944,10965053,DAX-1,Ad4BP,"Even though the Ad4BP-dependent transcriptional regulation of the DAX-1 gene has been reported, DAX-1 did not affect the transcriptional activity of the hFTZ-F1 gene in our study.",1.23,PMID.dPMID10965053.s1.p0,4,3,Ad4BP|DAX-1|DAX-1|FTZ-F1,Ad4BP|DAX-1|FTZ-F1,<--
2.1.6.0.1,190,9606,GO:0003706|GO:0017163,GO:0016481|GO:0034339|GO:0043433|GO:0045892,2.1.5.0.1,2516,9606,,GO:0034339|GO:0045944,10446902,DAX-1,SF-1,"With respect to implication of Ad4BP/SF-1 in the transcriptional regulation of the DAX-1 gene, inconsistent findings have been previously reported.",0.70,PMID.dPMID10446902.s5.p2,3,3,Ad4BP|SF-1|DAX-1,Ad4BP|DAX-1|SF-1,<--
2.1.6.0.1,190,9606,GO:0003706|GO:0017163,GO:0016481|GO:0034339|GO:0043433|GO:0045892,2.1.5.0.1,2516,9606,,GO:0034339|GO:0045944,9232190,DAX1,SF1,"When cotransfected with 1550 bp of the DAX1 promoter, an SF1-containing expression vector increased the transcriptional activity of the DAX1 promoter by 4-fold.",0.33,PMID.dPMID9232190.s2.p2,3,2,DAX1|SF1|DAX1,DAX1|SF1,<--
2.1.6.0.1,190,9606,GO:0003706|GO:0017163,GO:0016481|GO:0034339|GO:0043433|GO:0045892,2.1.5.0.1,2516,9606,,GO:0034339|GO:0045944,11297612,DAX-1,SF-1,"DAX-1 is a repressor of StAR gene expression, and steroidogenic factor-1 (SF-1) is a regulator of CYP11A, DAX-1, and StAR gene.",0.10,PMID.dPMID11297612.s13.p13,7,4,DAX-1|StAR|steroidogenic factor-1|SF-1|CYP11A|DAX-1|StAR,CYP11A|DAX-1|SF-1|StAR|steroidogenic factor-1,<--
2.1.6.0.1,190,9606,GO:0003706|GO:0017163,GO:0016481|GO:0034339|GO:0043433|GO:0045892,2.1.5.0.1,2516,9606,,GO:0034339|GO:0045944,15879363,DAX-1,SF-1,"Mutation of the SF-1-binding sites within the hACTH-R promoter resulted in reduced or abolished DAX-1 inhibition, arguing for a mechanism that involves SF-1 for DAX-1 inhibition.",0.08,PMID.dPMID15879363.s1.p1,5,4,SF-1|ACTH-R|DAX-1|SF-1|DAX-1,ACTH-R|DAX-1|SF-1,<--
2.1.6.0.1,190,9606,GO:0003706|GO:0017163,GO:0016481|GO:0034339|GO:0043433|GO:0045892,3.1.3.4.1,5087,9606,,GO:0043433,18984668,DAX1,PBX1,"Both genes are activated by SF-1 in a dose-dependent manner in NCI-H295R cells, and, surprisingly, PBX1 is synergistically activated by SF-1 and DAX1.",0.88,PMID.dPMID18984668.s3.p4,4,3,SF-1|PBX1|SF-1|DAX1,DAX1|PBX1|SF-1,e
1.2.5.1.1,196,9606,,GO:0006355|GO:0006357,6.4.1.0.2,861,9606,GO:0016563,GO:0045941|GO:0045944,17560011,AhR,AML1,"Additionally, AML1-ETO protein also increased AhR expression, a ligand-activated transcription factor that mediates PAHs-induced CYP1A1 gene expression.",2.15,PMID.dPMID17560011.s1.p0,3,3,AML1|AhR|CYP1A1,AhR|AML1|CYP1A1,e
1.2.5.1.1,196,9606,,GO:0006355|GO:0006357,1.1.1.1.1,3725,9606,GO:0016563|GO:0016564,GO:0043922|GO:0043923|GO:0045941|GO:0045944|GO:0051090,15897893,AhR,c-jun,Induction of c-jun depends on activation of p38-mitogen-activated protein kinase (MAPK) by an AhR-dependent mechanism.,0.20,PMID.dPMID15897893.s4.p1,3,3,c-jun|p38|AhR,AhR|c-jun|p38,i
1.2.5.1.1,196,9606,,GO:0006355|GO:0006357,2.1.2.5.1,5465,9606,GO:0003706|GO:0016563,GO:0010552|GO:0010553|GO:0034339|GO:0072363|GO:0072366|GO:0072369,17963696,AhR,PPARalpha,"PPARalpha transcriptionally induces AhR expression in Caco-2, but represses AhR pro-inflammatory effects.",1.51,PMID.dPMID17963696.s7.p0,3,2,PPARalpha|AhR|AhR,AhR|PPARalpha,e
1.2.5.1.1,196,9606,,GO:0006355|GO:0006357,6.1.1.2.1,5970,9606,GO:0016563|GO:0016564,GO:0032582|GO:0045944|GO:0051092,18483242,AHR,RELA,"Silencing of RELA expression alleviated IL-1beta-mediated repression of AHR transcriptional activity, whereas PMA-mediated repression was maintained.",1.64,PMID.dPMID18483242.s3.p1,3,3,RELA|IL-1beta|AHR,AHR|IL-1beta|RELA,c
1.2.5.1.1,196,9606,,GO:0006355|GO:0006357,2.1.3.3.5,7025,9606,GO:0003706,GO:0000122|GO:0034339,10620335,AHR,COUP-TF,The specific interaction of COUP-TF with XREs and AHR together with the inhibition of TCDD-induced gene expression by COUP-TF suggests that COUP-TF may regulate AHR action both by direct DNA binding competition and through protein-protein interactions,1.27,PMID.dPMID10620335.s0.p9,5,2,COUP-TF|AHR|COUP-TF|COUP-TF|AHR,AHR|COUP-TF,c
1.2.5.1.1,196,9606,,GO:0006355|GO:0006357,2.1.3.3.5,7025,9606,GO:0003706,GO:0000122|GO:0034339,10620335,AHR,COUP-TF,The specific interaction of COUP-TF with XREs and AHR together with the inhibition of TCDD-induced gene expression by COUP-TF suggests that COUP-TF may regulate AHR action both by direct DNA binding competition and through protein-protein interactions,0.14,PMID.dPMID10620335.s0.p6,5,2,COUP-TF|AHR|COUP-TF|COUP-TF|AHR,AHR|COUP-TF,c
1.2.5.1.1,196,9606,,GO:0006355|GO:0006357,6.3.1.0.1,7157,9606,GO:0016563|GO:0016564|GO:0016566,GO:0000122|GO:0006355|GO:0010552|GO:0010553|GO:0045941|GO:0045944,15111621,AHR,p53,"Here, we show that repression of p16(INK4a) and p53 transcriptional activity by dioxin absolutely requires the AHR and is accompanied by promoter methylation.",0.43,PMID.dPMID15111621.s3.p2,3,3,INK4a|p53|AHR,AHR|INK4a|p53,c
3.3.1.9.1.1,326,9606,GO:0016563,GO:0006355,1.1.1.1.1,3725,9606,GO:0016563|GO:0016564,GO:0043922|GO:0043923|GO:0045941|GO:0045944|GO:0051090,11026560,PGA1,AP-1,"Interestingly, so far as PGA, is present in the medium, AP-1-mediated transcription enhanced by PGA1 cannot be detected by the standard luciferase reporter gene assay.",0.29,PMID.dPMID11026560.s2.p0,2,2,AP-1|PGA1,AP-1|PGA1,n
3.3.1.9.1.1,326,9606,GO:0016563,GO:0006355,8.2.1.0.2,8091,9606,,,8049495,PGA1,lipo,The combined administration of cisplatin and lipo-methyl-delta 7-PGA1 prolonged the survival of nude mice bearing HRA cells compared with each single agent alone,0.07,PMID.dPMID8049495.s0.p0,2,2,lipo|PGA1,lipo|PGA1,x
